date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2021-07-22,1988.6742,1985.4022,1977.5936,1964.1038,1981.0944,1984.048,1967.5543,1986.402,1988.2596,2004.3623,1985.2521,1980.249,1973.173,1997.9103,1987.0066,1998.9547,2027.9652,2027.3619,2035.3774,2032.2925,2020.1184,2027.082,2006.5538,2012.5636
2021-07-23,2026.033,2034.6084,2058.931,2069.1274,2065.9675,2081.708,2073.1868,2068.1782,2068.1448,2043.2559,2050.123,2058.2961,2055.4795,2065.6697,2077.2722,2062.2627,2046.1362,2012.1116,2015.0461,2024.0433,2024.295,2041.5549,2058.9097,2097.2373
2021-07-24,2129.057,2109.6309,2124.656,2126.0037,2135.4705,2128.7864,2136.3982,2142.6665,2127.9695,2129.9963,2141.9668,2144.9077,2141.348,2159.6863,2154.8838,2156.6462,2152.092,2190.7932,2182.1042,2169.822,2153.777,2151.5144,2159.9045,2159.6104
2021-07-25,2188.5366,2158.264,2140.3655,2167.156,2153.8564,2174.2744,2167.8704,2170.9766,2173.3003,2177.1433,2176.4768,2160.5664,2153.2168,2144.0886,2126.1765,2121.6304,2130.7458,2136.3877,2152.634,2150.5667,2149.637,2146.8535,2155.8948,2169.0784
2021-07-26,2178.146,2265.0059,2320.3496,2303.1062,2317.777,2327.2808,2348.3713,2348.5002,2321.684,2338.8523,2348.8774,2340.4888,2338.6973,2342.868,2338.169,2326.0059,2339.163,2360.5913,2355.1448,2385.887,2356.1335,2265.5884,2244.3381,2248.6594
2021-07-27,2237.9897,2220.38,2175.826,2160.8928,2170.705,2179.2,2204.9092,2202.1152,2205.076,2220.3096,2242.4116,2250.8552,2278.9133,2316.3494,2297.158,2283.2832,2281.2322,2224.569,2220.3103,2246.064,2230.9888,2256.7488,2254.0735,2290.666
2021-07-28,2285.0122,2274.4944,2310.3162,2300.6636,2288.378,2295.7966,2289.941,2265.4644,2300.3438,2293.8335,2304.161,2299.059,2326.832,2283.5347,2285.8643,2294.6704,2285.5076,2322.8022,2255.255,2322.932,2305.9343,2291.5845,2292.6418,2285.2437
2021-07-29,2289.9854,2280.9912,2287.344,2296.1152,2276.1729,2300.7314,2293.761,2293.3188,2293.0454,2303.0237,2313.8188,2305.2349,2286.8477,2286.1409,2319.3918,2322.5085,2329.1934,2322.4377,2320.8325,2310.6458,2318.7532,2304.884,2319.0723,2339.9656
2021-07-30,2386.4636,2398.1387,2445.1592,2438.2524,2433.6821,2407.3137,2402.1077,2412.1816,2394.8474,2355.985,2333.7446,2343.4849,2335.6438,2334.0132,2350.177,2334.6553,2349.6082,2349.6287,2353.8416,2355.9229,2381.0525,2428.4504,2450.5574,2444.5598
2021-07-31,2456.7493,2465.2708,2463.0735,2464.817,2470.937,2456.9863,2425.8748,2439.766,2448.89,2467.5527,2451.5315,2475.8147,2453.6902,2453.1196,2445.538,2439.307,2461.8179,2448.6147,2438.5684,2464.1614,2451.0625,2498.0952,2537.8557,2544.7651
2021-08-01,2532.078,2572.0002,2574.983,2589.7625,2618.138,2619.8877,2605.2075,2595.246,2598.704,2602.3433,2597.72,2586.9282,2591.2876,2588.9583,2576.0762,2594.2761,2577.641,2576.251,2573.6814,2586.649,2663.0535,2661.6646,2648.8418,2607.1575
2021-08-02,2555.836,2518.3213,2536.5896,2571.3137,2555.3748,2547.9526,2564.1816,2626.7368,2621.8945,2569.4282,2605.3667,2586.7979,2597.3591,2580.5923,2622.8447,2628.2786,2645.9453,2637.7654,2646.438,2655.5588,2595.452,2606.0813,2617.548,2636.2668
2021-08-03,2602.6426,2604.0115,2559.7454,2554.6123,2520.5842,2490.8892,2466.7454,2457.5886,2481.2134,2479.1855,2496.0186,2507.0417,2483.824,2506.5017,2525.1995,2509.0398,2488.4917,2500.0574,2468.0935,2489.2576,2469.6274,2488.35,2496.7776,2520.599
2021-08-04,2512.1597,2518.2517,2534.0637,2509.8933,2489.961,2501.5388,2494.8032,2483.039,2483.6628,2477.3794,2475.7517,2505.2886,2512.5847,2589.716,2619.6528,2641.5159,2676.9548,2705.9922,2685.6045,2685.6833,2682.2217,2719.0383,2721.2068,2734.0933
